/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 03:52:26,142[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on HalfCheetah-v5...
Eval: global_step=991232, reward=3183.34 +/- 847.36
global_step=992988, episodic_return=3250.23
global_step=996992, episodic_return=3383.19
Eval: global_step=999424, reward=3539.84 +/- 39.92
global_step=1000996, episodic_return=1.28
global_step=1005000, episodic_return=3373.66
Eval: global_step=1007616, reward=3499.59 +/- 64.81
global_step=1009004, episodic_return=3341.06
global_step=1013008, episodic_return=3371.79
Eval: global_step=1015808, reward=3530.81 +/- 32.78
global_step=1017012, episodic_return=3304.51
global_step=1021016, episodic_return=3254.44
Eval: global_step=1024000, reward=3535.21 +/- 53.94
global_step=1025020, episodic_return=3403.83
global_step=1029024, episodic_return=3350.27
Eval: global_step=1032192, reward=3517.14 +/- 51.75
global_step=1033028, episodic_return=3294.67
global_step=1037032, episodic_return=3399.89
Eval: global_step=1040384, reward=3535.32 +/- 41.35
global_step=1041036, episodic_return=3335.27
global_step=1045040, episodic_return=3381.28
Eval: global_step=1048576, reward=3503.16 +/- 40.66
global_step=1049044, episodic_return=3445.30
global_step=1053048, episodic_return=3346.99
Eval: global_step=1056768, reward=3490.68 +/- 30.55
global_step=1057052, episodic_return=3288.95
global_step=1061056, episodic_return=3313.02
Eval: global_step=1064960, reward=3480.88 +/- 38.78
global_step=1065060, episodic_return=3249.19
global_step=1069064, episodic_return=3399.62
global_step=1073068, episodic_return=3380.39
Eval: global_step=1073152, reward=3527.71 +/- 46.54
global_step=1077072, episodic_return=3373.83
global_step=1081076, episodic_return=3337.62
Eval: global_step=1081344, reward=3498.43 +/- 40.34
global_step=1085080, episodic_return=3400.07
global_step=1089084, episodic_return=3337.02
Eval: global_step=1089536, reward=3521.96 +/- 38.26
global_step=1093088, episodic_return=3387.26
global_step=1097092, episodic_return=3273.96
Eval: global_step=1097728, reward=3539.80 +/- 35.50
global_step=1101096, episodic_return=3370.90
global_step=1105100, episodic_return=3398.71
Eval: global_step=1105920, reward=3582.08 +/- 36.63
global_step=1109104, episodic_return=3431.91
global_step=1113108, episodic_return=3489.81
Eval: global_step=1114112, reward=3594.04 +/- 37.94
global_step=1117112, episodic_return=3425.08
global_step=1121116, episodic_return=3434.68
Eval: global_step=1122304, reward=3620.92 +/- 55.36
global_step=1125120, episodic_return=3365.60
global_step=1129124, episodic_return=3457.93
Eval: global_step=1130496, reward=3619.66 +/- 26.80
global_step=1133128, episodic_return=3512.09
global_step=1137132, episodic_return=3514.18
Eval: global_step=1138688, reward=3649.85 +/- 43.12
global_step=1141136, episodic_return=3455.27
global_step=1145140, episodic_return=3431.68
Eval: global_step=1146880, reward=3655.78 +/- 47.39
global_step=1149144, episodic_return=3403.15
global_step=1153148, episodic_return=3355.71
Eval: global_step=1155072, reward=3646.51 +/- 45.02
global_step=1157152, episodic_return=3485.12
global_step=1161156, episodic_return=3374.66
Eval: global_step=1163264, reward=3664.36 +/- 46.09
global_step=1165160, episodic_return=3524.11
global_step=1169164, episodic_return=3478.19
Eval: global_step=1171456, reward=3656.58 +/- 63.73
global_step=1173168, episodic_return=3403.71
global_step=1177172, episodic_return=3433.85
Eval: global_step=1179648, reward=3651.21 +/- 42.17
global_step=1181176, episodic_return=3425.17
global_step=1185180, episodic_return=3461.57
Eval: global_step=1187840, reward=3632.90 +/- 47.35
global_step=1189184, episodic_return=3463.50
global_step=1193188, episodic_return=3467.37
Eval: global_step=1196032, reward=3690.85 +/- 38.71
global_step=1197192, episodic_return=3514.10
global_step=1201196, episodic_return=3459.05
Eval: global_step=1204224, reward=3612.24 +/- 58.82
global_step=1205200, episodic_return=3483.61
global_step=1209204, episodic_return=3438.37
Eval: global_step=1212416, reward=3633.72 +/- 51.87
global_step=1213208, episodic_return=3471.40
global_step=1217212, episodic_return=3443.81
Eval: global_step=1220608, reward=3588.87 +/- 78.72
global_step=1221216, episodic_return=3540.74
global_step=1225220, episodic_return=3544.21
Eval: global_step=1228800, reward=3599.78 +/- 41.94
global_step=1229224, episodic_return=3360.66
global_step=1233228, episodic_return=3446.87
Eval: global_step=1236992, reward=3592.20 +/- 19.23
global_step=1237232, episodic_return=3501.08
global_step=1241236, episodic_return=3464.48
Eval: global_step=1245184, reward=3597.83 +/- 35.47
global_step=1245240, episodic_return=3421.37
global_step=1249244, episodic_return=3515.99
global_step=1253248, episodic_return=3440.89
