/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
global_step=179864, episodic_return=230.51
Eval: global_step=180224, reward=230.46 +/- 1.01
global_step=180284, episodic_return=234.11
global_step=180716, episodic_return=240.32
global_step=181132, episodic_return=230.80
global_step=181544, episodic_return=230.07
global_step=181956, episodic_return=231.72
global_step=182372, episodic_return=226.41
global_step=182776, episodic_return=228.28
global_step=183192, episodic_return=232.38
global_step=183604, episodic_return=230.34
global_step=184016, episodic_return=230.15
global_step=184436, episodic_return=231.34
global_step=184848, episodic_return=229.31
global_step=185260, episodic_return=229.81
global_step=185688, episodic_return=233.84
global_step=186104, episodic_return=229.91
global_step=186520, episodic_return=229.64
global_step=186924, episodic_return=225.47
global_step=187344, episodic_return=241.09
global_step=187768, episodic_return=237.06
global_step=188176, episodic_return=227.86
Eval: global_step=188416, reward=230.26 +/- 1.55
global_step=188604, episodic_return=236.70
global_step=189012, episodic_return=228.11
global_step=189428, episodic_return=233.33
global_step=189856, episodic_return=241.38
global_step=190272, episodic_return=234.46
global_step=190680, episodic_return=227.52
global_step=191104, episodic_return=230.07
global_step=191516, episodic_return=230.00
global_step=191932, episodic_return=235.14
global_step=192348, episodic_return=231.12
global_step=192768, episodic_return=232.08
global_step=193184, episodic_return=231.40
global_step=193612, episodic_return=240.05
global_step=194016, episodic_return=225.65
global_step=194432, episodic_return=232.34
global_step=194844, episodic_return=229.25
global_step=195252, episodic_return=230.49
global_step=195656, episodic_return=227.55
global_step=196068, episodic_return=230.10
global_step=196492, episodic_return=230.12
Eval: global_step=196608, reward=227.70 +/- 1.20
global_step=196912, episodic_return=233.93
global_step=197324, episodic_return=228.40
global_step=197740, episodic_return=230.17
global_step=198144, episodic_return=231.19
global_step=198564, episodic_return=233.37
global_step=198984, episodic_return=227.23
global_step=199392, episodic_return=228.70
global_step=199812, episodic_return=235.43
global_step=200228, episodic_return=230.75
global_step=200644, episodic_return=233.88
global_step=201060, episodic_return=232.93
global_step=201488, episodic_return=233.79
global_step=201912, episodic_return=233.86
global_step=202320, episodic_return=227.23
global_step=202756, episodic_return=239.82
global_step=203176, episodic_return=236.69
global_step=203588, episodic_return=232.70
global_step=204000, episodic_return=228.39
global_step=204420, episodic_return=232.81
Eval: global_step=204800, reward=233.57 +/- 2.00
global_step=204828, episodic_return=225.60
global_step=205240, episodic_return=231.41
global_step=205644, episodic_return=224.46
global_step=206052, episodic_return=228.93
global_step=206464, episodic_return=229.01
global_step=206884, episodic_return=235.73
global_step=207300, episodic_return=230.82
global_step=207720, episodic_return=237.51
global_step=208144, episodic_return=232.01
global_step=208560, episodic_return=229.51
global_step=208980, episodic_return=232.53
global_step=209416, episodic_return=242.30
global_step=209844, episodic_return=243.98
global_step=210268, episodic_return=234.52
global_step=210692, episodic_return=233.82
global_step=211104, episodic_return=230.86
global_step=211508, episodic_return=224.24
global_step=211924, episodic_return=228.28
global_step=212356, episodic_return=239.41
global_step=212764, episodic_return=227.61
Eval: global_step=212992, reward=237.97 +/- 1.15
global_step=213200, episodic_return=237.22
global_step=213628, episodic_return=238.42
global_step=214052, episodic_return=240.34
global_step=214488, episodic_return=234.39
global_step=214936, episodic_return=240.44
global_step=215356, episodic_return=233.29
global_step=215780, episodic_return=237.63
global_step=216228, episodic_return=239.90
global_step=216652, episodic_return=230.12
global_step=217060, episodic_return=231.27
global_step=217476, episodic_return=230.72
global_step=217900, episodic_return=234.35
global_step=218344, episodic_return=244.48
global_step=218772, episodic_return=243.96
global_step=219200, episodic_return=242.42
global_step=219632, episodic_return=248.10
global_step=220052, episodic_return=235.04
global_step=220472, episodic_return=230.56
global_step=220888, episodic_return=237.97
Eval: global_step=221184, reward=241.35 +/- 1.99
global_step=221308, episodic_return=234.08
global_step=221772, episodic_return=256.26
global_step=222236, episodic_return=255.48
global_step=222672, episodic_return=241.03
global_step=223104, episodic_return=248.75
global_step=223536, episodic_return=236.04
global_step=223964, episodic_return=236.35
global_step=224448, episodic_return=269.95
global_step=224872, episodic_return=232.01
global_step=225324, episodic_return=250.37
global_step=225756, episodic_return=237.74
global_step=226172, episodic_return=233.32
global_step=226624, episodic_return=246.45
global_step=227052, episodic_return=238.32
global_step=227492, episodic_return=237.08
global_step=227924, episodic_return=236.30
global_step=228348, episodic_return=238.10
global_step=228792, episodic_return=250.54
global_step=229220, episodic_return=237.13
Eval: global_step=229376, reward=248.81 +/- 1.50
global_step=229648, episodic_return=237.39
global_step=230080, episodic_return=235.13
global_step=230484, episodic_return=227.91
global_step=230928, episodic_return=238.03
global_step=231360, episodic_return=234.79
global_step=231804, episodic_return=239.01
global_step=232236, episodic_return=243.58
global_step=232672, episodic_return=255.38
global_step=233120, episodic_return=255.38
global_step=233576, episodic_return=261.16
global_step=234012, episodic_return=247.59
global_step=234464, episodic_return=251.48
global_step=234892, episodic_return=228.81
global_step=235324, episodic_return=237.87
global_step=235768, episodic_return=239.76
global_step=236204, episodic_return=238.38
global_step=236640, episodic_return=239.45
global_step=237100, episodic_return=245.97
global_step=237528, episodic_return=235.82
Eval: global_step=237568, reward=254.90 +/- 1.48
global_step=237968, episodic_return=244.80
global_step=238420, episodic_return=257.81
global_step=238860, episodic_return=251.00
global_step=239304, episodic_return=258.37
global_step=239732, episodic_return=236.07
global_step=240196, episodic_return=267.92
global_step=240644, episodic_return=255.77
global_step=241096, episodic_return=264.38
global_step=241516, episodic_return=235.03
global_step=241956, episodic_return=252.29
global_step=242404, episodic_return=255.39
global_step=242884, episodic_return=270.26
global_step=243340, episodic_return=266.65
global_step=243800, episodic_return=260.11
global_step=244236, episodic_return=246.13
global_step=244672, episodic_return=246.59
global_step=245124, episodic_return=259.81
global_step=245560, episodic_return=245.64
Eval: global_step=245760, reward=263.09 +/- 1.55
global_step=245988, episodic_return=248.78
global_step=246456, episodic_return=266.93
global_step=246940, episodic_return=283.06
global_step=247404, episodic_return=264.38
global_step=247848, episodic_return=254.88
global_step=248304, episodic_return=257.91
global_step=248752, episodic_return=256.35
global_step=249204, episodic_return=256.64
global_step=249660, episodic_return=261.70
global_step=250140, episodic_return=270.04
global_step=250584, episodic_return=236.96
global_step=251052, episodic_return=271.10
global_step=251520, episodic_return=265.97
global_step=251984, episodic_return=267.52
global_step=252460, episodic_return=272.28
global_step=252908, episodic_return=256.59
global_step=253376, episodic_return=253.96
global_step=253832, episodic_return=251.91
Eval: global_step=253952, reward=269.02 +/- 1.34
global_step=254324, episodic_return=276.93
global_step=254768, episodic_return=255.60
global_step=255064, episodic_return=145.29
global_step=255544, episodic_return=255.19
global_step=256028, episodic_return=275.24
global_step=256504, episodic_return=280.76
global_step=256976, episodic_return=269.11
global_step=257456, episodic_return=263.52
global_step=257920, episodic_return=244.22
global_step=258384, episodic_return=271.98
global_step=258832, episodic_return=258.34
global_step=259328, episodic_return=285.42
global_step=259760, episodic_return=246.44
global_step=260240, episodic_return=279.47
global_step=260676, episodic_return=247.17
global_step=261156, episodic_return=278.78
global_step=261612, episodic_return=261.55
global_step=262076, episodic_return=263.63
Eval: global_step=262144, reward=272.89 +/- 1.13
global_step=262540, episodic_return=269.95
global_step=263004, episodic_return=273.97
global_step=263472, episodic_return=269.94
global_step=263960, episodic_return=280.47
global_step=264444, episodic_return=267.64
global_step=264936, episodic_return=274.29
